"y","x"
441,1399
441,1400
441,1401
441,1402
444,1403
444,1404
444,1405
444,1406
440,1407
440,1408
441,1409
441,1410
449,1411
449,1412
445,1413
445,1414
438,1415
438,1416
441,1417
441,1418
443,1419
443,1420
441,1421
441,1422
440,1423
440,1424
439,1425
439,1426
441,1427
441,1428
441,1429
441,1430
443,1431
443,1432
442,1433
442,1434
440,1435
440,1436
442,1437
442,1438
447,1439
447,1440
444,1441
444,1442
435,1443
435,1444
438,1445
438,1446
442,1447
442,1448
443,1449
443,1450
434,1451
434,1452
439,1453
439,1454
446,1455
446,1456
439,1457
439,1458
436,1459
436,1460
438,1461
438,1462
440,1463
440,1464
440,1465
440,1466
437,1467
437,1468
442,1469
442,1470
441,1471
441,1472
438,1473
438,1474
442,1475
442,1476
444,1477
444,1478
442,1479
442,1480
439,1481
439,1482
439,1483
439,1484
443,1485
443,1486
438,1487
438,1488
437,1489
437,1490
443,1491
443,1492
441,1493
441,1494
434,1495
434,1496
436,1497
436,1498
439,1499
439,1500
439,1501
439,1502
430,1503
430,1504
434,1505
434,1506
441,1507
441,1508
436,1509
436,1510
434,1511
434,1512
440,1513
440,1514
436,1515
436,1516
433,1517
433,1518
437,1519
437,1520
434,1521
434,1522
433,1523
433,1524
438,1525
438,1526
437,1527
437,1528
436,1529
436,1530
438,1531
438,1532
436,1533
436,1534
433,1535
433,1536
436,1537
436,1538
439,1539
439,1540
435,1541
435,1542
430,1543
430,1544
436,1545
436,1546
441,1547
441,1548
441,1549
441,1550
434,1551
434,1552
427,1553
427,1554
432,1555
432,1556
438,1557
438,1558
434,1559
434,1560
433,1561
433,1562
433,1563
433,1564
436,1565
436,1566
436,1567
436,1568
433,1569
433,1570
433,1571
433,1572
435,1573
435,1574
436,1575
436,1576
436,1577
436,1578
433,1579
433,1580
430,1581
430,1582
436,1583
436,1584
435,1585
435,1586
430,1587
430,1588
433,1589
433,1590
434,1591
434,1592
430,1593
430,1594
432,1595
432,1596
436,1597
436,1598
435,1599
435,1600
431,1601
431,1602
435,1603
435,1604
436,1605
436,1606
430,1607
430,1608
429,1609
429,1610
430,1611
430,1612
437,1613
437,1614
432,1615
